ra,dec,id,name,mag,bv
2.097083,29.090556,  15, 21Alp And,2.06,-0.11
2.294583,59.149722,  21, 11Bet Cas,2.27,0.34
3.309167,15.183611,  39, 88Gam Peg,2.83,-0.23
6.437917,-77.254167,  98,   Bet Hyi,2.8,0.62
6.570833,-42.306111,  99,   Alp Phe,2.39,1.09
10.127083,56.537222, 168, 18Alp Cas,2.23,1.17
10.8975,-17.986667, 188, 16Bet Cet,2.04,1.02
14.177083,60.716667, 264, 27Gam Cas,2.47,-0.15
17.432917,35.620556, 337, 43Bet And,2.06,1.58
21.454167,60.235278, 403, 37Del Cas,2.68,0.13
37.952917,89.264167, 424,  1Alp UMi,2.02,0.6
24.42875,-57.236667, 472,   Alp Eri,0.46,-0.16
28.66,20.808056, 553,  6Bet Ari,2.64,0.13
29.6925,-61.569722, 591,   Alp Hyi,2.86,0.28
30.975,42.329722, 603, 57Gam1And,2.26,1.37
31.793333,23.4625, 617, 13Alp Ari,2.0,1.15
32.385833,34.987222, 622,  4Bet Tri,3.0,0.14
45.57,4.089722, 911, 92Alp Cet,2.53,1.64
46.199167,53.506389, 915, 23Gam Per,2.93,0.7
47.042083,40.955556, 936, 26Bet Per,2.12,-0.05
51.080833,49.861111,1017, 33Alp Per,1.79,0.48
56.87125,24.105,1165, 25Eta Tau,2.87,-0.09
58.532917,31.883611,1203, 44Zet Per,2.85,0.12
59.463333,40.010278,1220, 45Eps Per,2.89,-0.18
59.5075,-13.508611,1231, 34Gam Eri,2.95,1.59
68.98,16.509167,1457, 87Alp Tau,0.85,1.54
74.248333,33.166111,1577,  3Iot Aur,2.69,1.53
75.492083,43.823333,1605,  7Eps Aur,2.99,0.54
76.9625,-5.086389,1666, 67Bet Eri,2.79,0.13
79.1725,45.998056,1708, 13Alp Aur,0.08,0.8
78.634583,-8.201667,1713, 19Bet Ori,0.12,-0.03
81.282917,6.349722,1790, 24Gam Ori,1.64,-0.22
81.572917,28.6075,1791,112Bet Tau,1.65,-0.13
82.06125,-20.759444,1829,  9Bet Lep,2.84,0.82
