ra,dec,id,name,mag,bv
1.33375,-5.7075,   3, 33    Psc,4.61,1.04
1.425,13.396111,   4, 86    Peg,5.51,0.9
1.566667,58.436667,   5,HR   5,5.96,0.67
1.579167,-49.075,   6,HR   6,5.7,0.52
1.610417,64.196111,   7, 10    Cas,5.59,-0.03
1.945,-22.508889,  12,HR  12,5.94,0.14
2.014583,-33.529444,  13,HR  13,5.68,1.12
2.097083,29.090556,  15, 21Alp And,2.06,-0.11
2.0725,-8.823889,  16,HR  16,5.99,1.04
2.294583,59.149722,  21, 11Bet Cas,2.27,0.34
2.26,18.211944,  22, 87    Peg,5.53,1.04
2.3375,-27.987778,  24,   Kap1Scl,5.42,0.42
2.352917,-45.7475,  25,   Eps Phe,3.88,1.03
2.509583,11.145556,  26, 34    Psc,5.51,-0.07
2.580417,46.072222,  27, 22    And,5.03,0.4
2.578333,-5.248611,  29,HR  29,5.84,0.98
2.50875,-82.223889,  30,   Gam3Oct,5.28,1.05
2.678333,-12.58,  31,HR  31,5.85,1.01
2.81625,-15.468056,  33,  6    Cet,4.89,0.49
2.893333,-27.799722,  34,   Kap2Scl,5.41,1.34
2.933333,-35.133056,  35,   The Scl,5.25,0.44
3.041667,-17.938333,  37,HR  37,5.25,1.48
3.309167,15.183611,  39, 88Gam Peg,2.83,-0.23
3.378333,41.035278,  41, 23    And,5.72,0.31
3.425417,-26.021944,  42,HR  42,5.94,1.55
3.650833,20.206667,  45, 89Chi Peg,4.8,1.57
3.615,-7.780556,  46,HR  46,5.12,1.62
3.330833,-84.994167,  47,HR  47,5.77,1.72
3.66,-18.932778,  48,  7    Cet,4.44,1.66
3.745,8.820833,  50, 35    Psc,5.79,0.31
3.727083,-9.569722,  51,HR  51,5.75,-0.08
4.037083,-31.446389,  57,HR  57,5.67,1.35
4.237917,61.533333,  60,HR  60,5.74,0.88
4.287917,47.9475,  62,HR  62,5.89,-0.09
4.272917,38.681667,  63, 24The And,4.61,0.06
4.582083,36.785278,  68, 25Sig And,4.52,0.05
4.659583,31.517222,  71,HR  71,5.87,-0.01
4.857083,-8.823889,  74,  8Iot Cet,3.56,1.22
5.017917,-64.874722,  77,   Zet Tuc,4.23,0.58
5.101667,30.935833,  78,HR  78,5.9,-0.1
5.189583,32.911389,  79,HR  79,5.79,1.59
5.149583,8.190278,  80, 41    Psc,5.37,1.34
5.280417,37.968611,  82, 27Rho And,5.18,0.42
5.1625,-69.625,  83,   Pi  Tuc,5.51,-0.05
5.38,-28.981667,  84,   Iot Scl,5.18,1.0
5.442917,-20.057778,  85,HR  85,5.12,1.82
5.369167,-77.426944,  87,HR  87,5.97,1.4
6.065,52.02,  91,HR  91,5.57,-0.12
6.197917,61.831111,  93, 12    Cas,5.4,0.0
6.276667,53.046944,  96,HR  96,5.74,-0.06
6.350833,1.939722,  97, 44    Psc,5.77,0.86
6.437917,-77.254167,  98,   Bet Hyi,2.8,0.62
6.570833,-42.306111,  99,   Alp Phe,2.39,1.09
6.550833,-43.68, 100,   Kap Phe,3.94,0.17
6.81125,-25.547222, 102,HR 102,5.98,1.03
7.012083,17.893056, 103, 47    Psc,5.06,1.65
7.057083,44.394444, 104,HR 104,5.17,0.03
6.982083,-33.007222, 105,   Eta Scl,4.81,1.64
7.11,-39.915, 109,HR 109,5.43,1.56
7.582917,59.977222, 113,HR 113,5.94,0.01
7.530417,29.751667, 114, 28    And,5.23,0.24
7.51,-3.957222, 117, 12    Cet,5.72,1.56
7.594583,-23.787778, 118,HR 118,5.19,0.12
7.60875,-48.215, 120,HR 120,5.69,0.35
7.856667,33.581667, 122,HR 122,5.87,1.14
7.943333,54.522222, 123, 14Lam Cas,4.73,-0.1
7.921667,52.839444, 124,HR 124,5.6,1.15
7.854167,-48.803611, 125,   Lam1Phe,4.77,0.02
7.88625,-62.958056, 126,   Bet1Tuc,4.37,-0.07
7.89,-62.965833, 127,   Bet2Tuc,4.54,0.15
8.25,62.931667, 130, 15Kap Cas,4.16,0.14
8.147917,20.294444, 131, 52    Psc,5.38,1.08
8.099167,6.955556, 132, 51    Psc,5.67,0.0
8.293333,54.895, 135,HR 135,5.93,1.04
8.1825,-63.031111, 136,   Bet3Tuc,5.09,0.04
8.42125,-29.558333, 138,HR 138,5.55,1.27
8.615833,-52.373056, 140,HR 140,5.57,0.47
8.812083,-3.592778, 142, 13    Cet,5.2,0.56
8.886667,-0.505556, 143, 14    Cet,5.93,0.44
9.034583,54.168611, 144,HR 144,5.08,-0.11
9.11375,60.326111, 146,HR 146,5.79,0.29
8.92125,-48.000833, 147,   Lam2Phe,5.51,0.44
9.194167,44.488611, 152,HR 152,5.13,1.6
9.242917,53.896944, 153, 17Zet Cas,3.66,-0.2
9.220417,33.719444, 154, 29Pi  And,4.36,-0.14
9.197083,15.231667, 155, 53    Psc,5.89,-0.15
9.337917,35.399444, 157,HR 157,5.48,0.88
9.33625,-24.767222, 159,HR 159,5.57,0.72
9.63875,29.311667, 163, 30Eps And,4.37,0.87
9.79125,49.354444, 164,HR 164,5.43,1.64
9.832083,30.860833, 165, 31Del And,3.27,1.28
9.840833,21.250556, 166, 54    Psc,5.87,0.85
9.981667,21.438333, 167, 55    Psc,5.36,1.16
10.127083,56.537222, 168, 18Alp Cas,2.23,1.17
10.176667,-4.351944, 174,HR 174,5.91,1.1
10.28,39.458611, 175, 32    And,5.33,0.89
10.11,-59.454444, 176,HR 176,5.89,0.55
